id,mot,contains,restant
938,chantemerle,2,26259
939,beaupuy,4,26255
940,poet,3,26252
941,lasserre,4,26248
942,plessier,2,26246
943,gensac,3,26243
944,pouligny,0,26243
945,brain,2,26241
946,juillac,4,26237
947,benoist,0,26237
948,arnon,0,26237
949,bretigny,3,26234
950,oudon,2,26232
951,ille,0,26232
952,roubion,1,26231
953,lens,2,26229
954,rigny,2,26227
955,rue,1,26226
956,cornillon,4,26222
957,bertrand,1,26221
958,menetou,1,26220
959,angel,0,26220
960,chevry,4,26216
961,tourville,0,26216
962,limoges,4,26212
963,locmaria,3,26209
964,barenton,3,26206
965,sant,2,26204
966,chevrieres,4,26200
967,sully,3,26197
968,vayres,2,26195
969,angers,4,26191
970,rilhac,4,26187
971,tremblay,3,26184
972,servon,3,26181
973,rilly,0,26181
974,ternoise,0,26181
975,nice,4,26177
976,saints,4,26173
977,anglars,2,26171
978,lamotte,3,26168
979,lalanne,3,26165
980,lary,0,26165
981,ouanne,1,26164
982,ailly,1,26163
983,chanteloup,4,26159
984,maurens,4,26155
985,villebois,3,26152
986,castet,3,26149
987,privat,0,26149
988,jeanbois,0,26149
989,air,1,26148
990,hamel,3,26145
991,maire,2,26143
992,boiry,1,26142
993,aulnois,1,26141
994,surmont,1,26140
995,sylvain,0,26140
996,brains,2,26138
997,aubenas,1,26137
998,athee,2,26135
999,lafage,2,26133
1000,grazac,3,26130
1001,maisnil,3,26127
1002,aspres,2,26125
1003,mairy,2,26123
1004,maisonnais,2,26121
1005,surouveze,1,26120
1006,aulnoy,1,26119
1007,fleville,2,26117
1008,boutigny,2,26115
1009,brainville,2,26113
1010,maille,3,26110
1011,coux,2,26108
1012,parigny,3,26105
1013,aulon,3,26102
1014,subligny,3,26099
1015,lafauche,1,26098
1016,paray,1,26097
1017,chaussy,2,26095
1018,grange,1,26094
1019,pouzols,2,26092
1020,cressy,2,26090
1021,laguepie,2,26088
1022,roe,1,26087
1023,bouville,3,26084
1024,surlys,0,26084
1025,crest,3,26081
1026,bourguignon,1,26080
1027,moder,0,26080
1028,floirac,3,26077
1029,grandfontaine,2,26075
1030,sury,1,26074
1031,flour,1,26073
1032,paroisse,2,26071
1033,chatenoy,3,26068
1034,nieul,2,26066
1035,versigny,2,26064
1036,gratien,0,26064
1037,bourges,3,26061
1038,vicomte,0,26061
1039,surescaut,2,26059
1040,magneux,2,26057
1041,moivre,1,26056
1042,grenier,1,26055
1043,miribel,3,26052
1044,lagrange,3,26049
1045,maixent,0,26049
1046,monceaux,2,26047
1047,vierville,2,26045
1048,roman,1,26044
1049,mad,0,26044
1050,roncheres,2,26042
1051,augustin,0,26042
1052,maine,0,26042
1053,cras,2,26040
1054,aubance,0,26040
1055,fonds,1,26039
1056,strasbourg,3,26036
1057,chavigny,2,26034
1058,folie,1,26033
1059,labruyere,3,26030
1060,monceau,1,26029
1061,verriere,1,26028
1062,athies,2,26026
1063,passavant,1,26025
1064,vesles,0,26025
1065,chaume,1,26024
1066,miremont,2,26022
1067,maillet,2,26020
1068,veyle,0,26020
1069,foissac,2,26018
1070,romagny,2,26016
1071,vesly,3,26013
1072,craon,2,26011
1073,aubry,1,26010
1074,nicolasbois,0,26010
1075,mirepoix,2,26008
1076,pradelles,2,26006
1077,lafitte,2,26004
1078,grasse,2,26002
1079,aude,0,26002
1080,aujon,0,26002
1081,pas,2,26000
1082,grave,1,25999
1083,laas,3,25996
1084,surville,3,25993
1085,entraigues,3,25990
1086,augy,2,25988
1087,grignon,3,25985
1088,coulanges,2,25983
1089,boulay,1,25982
1090,baugy,3,25979
1091,touques,1,25978
1092,marthe,0,25978
1093,martainville,3,25975
1094,corbeil,3,25972
1095,jabron,0,25972
1096,mee,2,25970
1097,marson,2,25968
1098,mees,3,25965
1099,jacques,0,25965
1100,touffreville,2,25963
1101,hermitage,3,25960
1102,marseillan,3,25957
1103,valery,0,25957
1104,corbon,2,25955
1105,meilhan,2,25953
1106,beurey,2,25951
1107,marsal,2,25949
1108,bethencourt,1,25948
1109,martigne,2,25946
1110,vantoux,1,25945
1111,etaules,3,25942
1112,touvre,1,25941
1113,reignac,2,25939
1114,toury,2,25937
1115,ognes,3,25934
1116,reilhac,2,25932
1117,mazieres,2,25930
1118,oger,1,25929
1119,reims,3,25926
1120,vabre,2,25924
1121,vacheresse,2,25922
1122,tourrettes,2,25920
1123,besbre,0,25920
1124,bay,1,25919
1125,heudicourt,2,25917
1126,farges,3,25914
1127,issole,0,25914
1128,vaire,2,25912
1129,osmoy,2,25910
1130,marre,2,25908
1131,meix,2,25906
1132,bey,2,25904
1133,marmagne,3,25901
1134,cirgues,0,25901
1135,barjac,3,25898
1136,cirey,1,25897
1137,bieville,3,25894
1138,bievres,3,25891
1139,barges,3,25888
1140,circourt,2,25886
1141,marle,1,25885
1142,marizy,1,25884
1143,bignicourt,1,25883
1144,nozieres,2,25881
1145,corny,2,25879
1146,nozay,3,25876
1147,billancourt,1,25875
1148,noyer,3,25872
1149,marigne,3,25869
1150,nuisement,0,25869
1151,fays,2,25867
1152,marmoutier,3,25864
1153,favril,3,25861
1154,valle,0,25861
1155,tolosane,2,25859
1156,jard,1,25858
1157,beze,1,25857
1158,cize,3,25854
1159,valleroy,3,25851
1160,tocqueville,2,25849
1161,bezu,1,25848
1162,fayet,3,25845
1163,civray,2,25843
1164,jarrie,3,25840
1165,estephe,0,25840
1166,vallois,3,25837
1167,barret,1,25836
1168,quatre,1,25835
1169,barre,3,25832
1170,tracy,0,25832
1171,quincey,3,25829
1172,uxelles,1,25828
1173,orgeres,2,25826
1174,belloy,1,25825
1175,maucourt,2,25823
1176,ramecourt,2,25821
1177,maugis,0,25821
1178,martres,1,25820
1179,etrelles,2,25818
1180,martory,2,25816
1181,mauldre,0,25816
1182,mauleon,3,25813
1183,ifs,2,25811
1184,etrechy,3,25808
1185,beauvoisin,3,25805
1186,evreux,2,25803
1187,beauvilliers,3,25800
1188,evry,2,25798
1189,igny,3,25795
1190,tremont,2,25793
1191,maubec,3,25790
1192,colleville,2,25788
1193,marville,1,25787
1194,raphael,0,25787
1195,belcastel,2,25785
1196,massac,3,25782
1197,eugene,0,25782
1198,raoul,1,25781
1199,bellefond,2,25779
1200,rancourt,2,25777
1201,massy,3,25774
1202,belleme,1,25773
1203,bellonne,1,25772
1204,matha,1,25771
1205,mathieu,2,25769
1206,combe,1,25768
1207,mathurin,0,25768
1208,raucourt,1,25767
1209,treves,3,25764
1210,belloc,2,25762
1211,omer,0,25762
1212,beaupre,1,25761
1213,bersac,1,25760
1214,benouville,2,25758
1215,bernes,2,25756
1216,beaucourt,3,25753
1217,fage,1,25752
1218,bernieres,1,25751
1219,beauchamps,2,25749
1220,maximin,0,25749
1221,failly,1,25748
1222,may,0,25748
1223,tramont,2,25746
1224,usseau,2,25744
1225,ussel,3,25741
1226,martincourt,2,25739
1227,bazus,2,25737
1228,oinville,0,25737
1229,conie,1,25736
1230,mayres,3,25733
1231,bazoge,3,25730
1232,mauvoisin,0,25730
1233,ingrandes,3,25727
1234,condamine,2,25725
1235,ollieres,2,25723
1236,benque,2,25721
1237,beny,1,25720
1238,beon,3,25717
1239,berain,0,25717
1240,treize,2,25715
1241,hommes,2,25713
